City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
484,malamig,12.95,121.3667,26.11,80,43,2.62,PH,1682380640
485,pelym,61.0108,61.9978,2.23,86,100,3.29,RU,1682380640
486,port macquarie,-31.4333,152.9167,19.84,63,89,2.24,AU,1682380640
487,bundaberg,-24.85,152.35,25.68,74,89,1.34,AU,1682380641
488,belmonte,-15.8631,-38.8828,23.62,89,88,4.25,BR,1682380641
489,broome,42.2506,-75.833,7.79,81,100,2.24,US,1682380641
490,escarcega,18.6089,-90.7454,29.82,54,99,3.51,MX,1682380642
491,ewa beach,21.3156,-158.0072,27.77,72,100,4.47,US,1682380642
492,careiro da varzea,-3.2003,-59.8119,27.35,95,30,1.73,BR,1682380642
493,vryburg,-26.9566,24.7284,17.11,48,99,1.74,ZA,1682380643
494,veraval,20.9,70.3667,26.17,60,17,4.66,IN,1682380643
495,chimbote,-9.0853,-78.5783,24.41,81,63,3.5,PE,1682380644
496,moindou,-21.6924,165.677,26.02,71,97,3.96,NC,1682380644
497,remontnoye,46.5614,43.6501,10.73,91,99,2.27,RU,1682380645
498,vao,-22.6667,167.4833,24.62,76,100,11.26,NC,1682380645
499,rawson,-43.3002,-65.1023,22.59,33,5,10.3,AR,1682380645
500,awbari,26.5921,12.7805,21.76,34,27,3.53,LY,1682380645
501,dalvik,65.9702,-18.5286,-1.04,68,88,1.78,IS,1682380646
502,shizunai,42.3339,142.3669,7.38,66,3,5.61,JP,1682380391
503,sabancuy,18.9667,-91.1833,27.71,76,97,4.6,MX,1682380646
504,miraflores,19.2167,-98.8083,25.02,32,100,4.0,MX,1682380646
505,kungurtug,50.5994,97.5228,-0.5,63,91,1.01,RU,1682380647
506,bambous virieux,-20.3428,57.7575,24.56,94,20,0.0,MU,1682380647
507,bourges,47.25,2.4167,7.77,98,48,3.1,FR,1682380647
508,adjumani,3.3779,31.7909,20.2,97,100,2.1,UG,1682380647
509,paamiut,61.994,-49.6678,0.23,91,92,3.87,GL,1682380648
510,the valley,18.217,-63.0578,27.12,78,20,2.06,AI,1682380648
511,kysyl-syr,63.8986,122.7617,-4.75,94,100,3.99,RU,1682380648
512,ayorou,14.7308,0.9174,31.65,13,0,4.13,NE,1682380648
513,ilinskiy,55.619,38.1182,11.19,71,0,0.0,RU,1682380649
514,iquitos,-3.7481,-73.2472,25.02,94,100,1.03,PE,1682380649
515,abalak,58.1286,68.5944,2.14,73,99,2.25,RU,1682380649
516,vila franca do campo,37.7167,-25.4333,17.23,97,100,3.58,PT,1682380649
517,alofi,-19.0595,-169.9187,27.94,78,20,3.6,NU,1682380649
518,alice,27.7523,-98.0697,21.97,81,100,3.51,US,1682380650
519,guarapari,-20.6667,-40.4975,23.83,85,34,2.39,BR,1682380650
520,lazaro cardenas,17.9583,-102.2,27.1,63,69,3.73,MX,1682380650
521,petropavlovsk-kamchatskiy,53.0452,158.6483,3.33,48,75,6.0,RU,1682380650
522,kaduqli,11.0167,29.7167,29.66,34,96,1.54,SD,1682380651
523,beringovskiy,63.05,179.3167,-4.66,74,92,5.53,RU,1682380651
524,imbituba,-28.24,-48.6703,20.06,88,4,4.2,BR,1682380651
525,jawhar,2.7809,45.5005,26.37,81,90,3.87,SO,1682380651
526,ullapool,57.8987,-5.1604,2.42,79,76,0.85,GB,1682380652
527,balabac,7.9868,117.0645,28.75,77,97,4.85,PH,1682380652
528,barabai,-2.5833,115.3833,24.73,96,99,0.77,ID,1682380652
529,san borja,-14.8167,-66.85,23.7,81,38,1.1,BO,1682380652
530,kahului,20.8947,-156.47,24.61,74,39,0.97,US,1682380653
531,nicoya,10.1483,-85.452,29.06,64,86,1.89,CR,1682380653
532,buraydah,26.326,43.975,20.25,54,50,3.11,SA,1682380489
533,jales,-20.2689,-50.5458,21.54,67,59,3.42,BR,1682380653
534,cabedelo,-6.9811,-34.8339,26.37,83,41,4.49,BR,1682380653
535,vestmanna,62.1564,-7.1664,-1.49,86,100,4.12,FO,1682380654
536,jurado,7.1053,-77.7641,25.74,84,36,0.69,CO,1682380654
537,ligayan,4.6533,119.4706,28.25,77,87,3.3,PH,1682380655
538,saint-pierre,-21.3393,55.4781,24.82,83,100,10.29,RE,1682380655
539,labrea,-7.2586,-64.7981,23.71,96,83,0.54,BR,1682380655
540,antofagasta,-23.65,-70.4,17.6,86,39,3.34,CL,1682380655
541,lorengau,-2.0226,147.2712,28.25,80,87,3.46,PG,1682380656
542,tucumcari,35.1717,-103.725,19.97,45,89,7.66,US,1682380656
543,marzuq,14.4,46.4667,24.36,51,67,1.14,YE,1682380656
544,xining,36.6167,101.7667,4.2,56,1,0.28,CN,1682380656
545,kyren,51.6828,102.1408,4.02,43,100,1.24,RU,1682380656
546,alice springs,-23.7,133.8833,19.75,56,0,0.0,AU,1682380657
547,vestmannaeyjar,63.4427,-20.2734,4.79,66,100,7.16,IS,1682380657
